"out_object_name";"out_object_suffix";"out_application";"out_functionality";"in_object_name"
"OUT_NTF_BLOCKED_AMOUNTS";"AMOUNTS";"NTF";"BLOCKED_AMOUNTS";"OUT_NTF_BLOCKED_AMOUNTS"
"OUT_LDD_TREASURY_CORR";"CORR";"LDD";"TREASURY_CORR";"OUT_LDD_TREASURY_CORR"
"OUT_AML_TRANSACTION_DAILY_CNT";"CNT";"AML";"TRANSACTION_DAILY_CNT";"OUT_AML_TRANSACTION_DAILY_CNT"
"OUT_LDD_CUST_INDIV_STG1";"STG1";"LDD";"CUST_INDIV_STG1";"OUT_LDD_CUST_INDIV_STG1"
"OUT_AML_PRODUCT";"PRODUCT";"AML";"PRODUCT";"OUT_AML_PRODUCT"
"OUT_LDD_NETTING_GROUP";"GROUP";"LDD";"NETTING_GROUP";"OUT_LDD_NETTING_GROUP"
"OUT_LDD_CUSTOMER_DEAL_CORR";"H";"LDD";"CUSTOMER_DEAL_CORR";"OUT_LDD_CUSTOMER_DEAL_CORR_H"
"OUT_LDD_RESULT_DEAL_CORR";"CORR";"LDD";"RESULT_DEAL_CORR";"OUT_LDD_RESULT_DEAL_CORR"
"OUT_AML_CUSTOMER_DAILY_CNT";"CNT";"AML";"CUSTOMER_DAILY_CNT";"OUT_AML_CUSTOMER_DAILY_CNT"
"OUT_SB_INSPOL_EXPIRED";"EXPIRED";"SB";"INSPOL_EXPIRED";"OUT_SB_INSPOL_EXPIRED"
"OUT_LDD_FEE_GPM";"GPM";"LDD";"FEE_GPM";"OUT_LDD_FEE_GPM"
"OUT_FB_ACCOUNT_IND";"BKP0305";"FB";"ACCOUNT_IND";"OUT_FB_ACCOUNT_IND_BKP0305"
"OUT_SCO_CUSTOMER_REL";"REL";"SCO";"CUSTOMER_REL";"OUT_SCO_CUSTOMER_REL"
"OUT_LDD_EXCHANGE_RATE";"RATE";"LDD";"EXCHANGE_RATE";"OUT_LDD_EXCHANGE_RATE"
"OUT_LDD_COAL_EXPOSURE_CON";"CON";"LDD";"COAL_EXPOSURE_CON";"OUT_LDD_COAL_EXPOSURE_CON"
"OUT_SCO_ADDS_GPM";"GPM";"SCO";"ADDS_GPM";"OUT_SCO_ADDS_GPM"
"OUT_QRM_IGR_CF";"CF";"QRM";"IGR_CF";"OUT_QRM_IGR_CF"
"OUT_LDD_WORKOUT_EXP_INC_CORR";"H";"LDD";"WORKOUT_EXP_INC_CORR";"OUT_LDD_WORKOUT_EXP_INC_CORR_H"
"OUT_STG_TOT_EXP";"EXP";"STG";"TOT_EXP";"OUT_STG_TOT_EXP"
"OUT_SCO_INTEREST_GPM";"GPM";"SCO";"INTEREST_GPM";"OUT_SCO_INTEREST_GPM"
"OUT_NTFINS_SEQUENCES";"SEQUENCES";"NTFINS";"SEQUENCES";"OUT_NTFINS_SEQUENCES"
"OUT_NE_APPROVAL_INPUT";"INPUT";"NE";"APPROVAL_INPUT";"OUT_NE_APPROVAL_INPUT"
"OUT_LDD_CUSTOMER_ALIAS_CORR";"CORR";"LDD";"CUSTOMER_ALIAS_CORR";"OUT_LDD_CUSTOMER_ALIAS_CORR"
"OUT_LDD_GL_ACC_DERIVATION_CC";"CC";"LDD";"GL_ACC_DERIVATION_CC";"OUT_LDD_GL_ACC_DERIVATION_CC"
"OUT_AML_ACCOUNT_DAILY";"DAILY";"AML";"ACCOUNT_DAILY";"OUT_AML_ACCOUNT_DAILY"
"OUT_LDD_CUSTOMER_DEAL_CORR";"CORR";"LDD";"CUSTOMER_DEAL_CORR";"OUT_LDD_CUSTOMER_DEAL_CORR"
"OUT_LDD_FEE_GPM_CORR";"H";"LDD";"FEE_GPM_CORR";"OUT_LDD_FEE_GPM_CORR_H"
"OUT_LDD_WORK_DEF_EVENT_CORR";"H";"LDD";"WORK_DEF_EVENT_CORR";"OUT_LDD_WORK_DEF_EVENT_CORR_H"
"OUT_LDD_FORBEARANCE";"FORBEARANCE";"LDD";"FORBEARANCE";"OUT_LDD_FORBEARANCE"
"OUT_SCO_FEE";"FEE";"SCO";"FEE";"OUT_SCO_FEE"
"OUT_GS_CUSTOMER_DEMOGRAFIC";"DEMOGRAFIC";"GS";"CUSTOMER_DEMOGRAFIC";"OUT_GS_CUSTOMER_DEMOGRAFIC"
"OUT_LDD_PREC_ACC_LEVEL__CORR";"H";"LDD";"PREC_ACC_LEVEL__CORR";"OUT_LDD_PREC_ACC_LEVEL__CORR_H"
"OUT_LDD_CUSTOMER_UK";"UK";"LDD";"CUSTOMER_UK";"OUT_LDD_CUSTOMER_UK"
"OUT_LDD_DOM_INSTALM_TYPE";"TYPE";"LDD";"DOM_INSTALM_TYPE";"OUT_LDD_DOM_INSTALM_TYPE"
"OUT_LDD_DOMAIN_IFRS_POS";"POS";"LDD";"DOMAIN_IFRS_POS";"OUT_LDD_DOMAIN_IFRS_POS"
"OUT_SOA_AXA_CARD_ACTIV";"MV";"SOA";"AXA_CARD_ACTIV";"OUT_SOA_AXA_CARD_ACTIV_MV"
"OUT_LDD_DOMAIN_B2PROSEG";"B2PROSEG";"LDD";"DOMAIN_B2PROSEG";"OUT_LDD_DOMAIN_B2PROSEG"
"OUT_LDD_DEAL_SYNTH_CODES";"CODES";"LDD";"DEAL_SYNTH_CODES";"OUT_LDD_DEAL_SYNTH_CODES"
"OUT_NE_REEXAMINATION_RATE_DET";"DET";"NE";"REEXAMINATION_RATE_DET";"OUT_NE_REEXAMINATION_RATE_DET"
"OUT_NE_REEXAMINATION_RATE_REP";"REP";"NE";"REEXAMINATION_RATE_REP";"OUT_NE_REEXAMINATION_RATE_REP"
"OUT_LGD_DEFAULT_ACCOUNTS";"H";"LGD";"DEFAULT_ACCOUNTS";"OUT_LGD_DEFAULT_ACCOUNTS_H"
"OUT_CQA_ACCOUNTS";"ACCOUNTS";"CQA";"ACCOUNTS";"OUT_CQA_ACCOUNTS"
"OUT_SB_OB_CLIENT_IFRS_EXPOSURE";"EXPOSURE";"SB";"OB_CLIENT_IFRS_EXPOSURE";"OUT_SB_OB_CLIENT_IFRS_EXPOSURE"
"OUT_LGD_DEF_COLL_STATUS";"H";"LGD";"DEF_COLL_STATUS";"OUT_LGD_DEF_COLL_STATUS_H"
"OUT_RICOS_RELEVANT_PARTIES";"PARTIES";"RICOS";"RELEVANT_PARTIES";"OUT_RICOS_RELEVANT_PARTIES"
"OUT_NTF_CDV";"CDV";"NTF";"CDV";"OUT_NTF_CDV"
"OUT_LDD_FEE_CORR";"CORR";"LDD";"FEE_CORR";"OUT_LDD_FEE_CORR"
"OUT_SB_INTADJ_MOVEMENTS";"MOVEMENTS";"SB";"INTADJ_MOVEMENTS";"OUT_SB_INTADJ_MOVEMENTS"
"OUT_STG_TE_CLGRP_RELATIONS";"RELATIONS";"STG";"TE_CLGRP_RELATIONS";"OUT_STG_TE_CLGRP_RELATIONS"
"OUT_LDD_CVA_RESULT_EXPOSURE";"EXPOSURE";"LDD";"CVA_RESULT_EXPOSURE";"OUT_LDD_CVA_RESULT_EXPOSURE"
"OUT_BACKUP_TABLES";"TABLES";"BACKUP";"TABLES";"OUT_BACKUP_TABLES"
"OUT_LDD_RWA_CUSTOMER";"CUSTOMER";"LDD";"RWA_CUSTOMER";"OUT_LDD_RWA_CUSTOMER"
"OUT_LDD_SAPCO";"SAPCO";"LDD";"SAPCO";"OUT_LDD_SAPCO"
"OUT_LDD_TILEX";"TILEX";"LDD";"TILEX";"OUT_LDD_TILEX"
"OUT_FMS_PARTY_FACTS_BKP";"BKP";"FMS";"PARTY_FACTS_BKP";"OUT_FMS_PARTY_FACTS_BKP"
"OUT_LDD_SECURITY";"H";"LDD";"SECURITY";"OUT_LDD_SECURITY_H"
"OUT_LGD_DEFAULT_COLL";"COLL";"LGD";"DEFAULT_COLL";"OUT_LGD_DEFAULT_COLL"
"OUT_FMS_OVD_LIMITS";"LIMITS";"FMS";"OVD_LIMITS";"OUT_FMS_OVD_LIMITS"
"OUT_LDD_DEFAULT_EXP_INC";"INC";"LDD";"DEFAULT_EXP_INC";"OUT_LDD_DEFAULT_EXP_INC"
"OUT_SCO_COLL_ACCOUNT";"ACCOUNT";"SCO";"COLL_ACCOUNT";"OUT_SCO_COLL_ACCOUNT"
"OUT_LDD_GPM_INTEREST_ACBAL_STG";"STG";"LDD";"GPM_INTEREST_ACBAL_STG";"OUT_LDD_GPM_INTEREST_ACBAL_STG"
"OUT_LDD_CUSTOMER_COLL";"COLL";"LDD";"CUSTOMER_COLL";"OUT_LDD_CUSTOMER_COLL"
"OUT_LDD_CUSTOMER_CORR";"CORR";"LDD";"CUSTOMER_CORR";"OUT_LDD_CUSTOMER_CORR"
